year,mean_r
1970,0.319058
1971,0.306235
1972,0.311083
1973,0.268878
1974,0.272829
1975,0.265965
1976,0.307466
1977,0.328236
1978,0.322786
1979,0.342410
1980,0.333766
1981,0.333010
1982,0.334951
1983,0.386567
1984,0.444730
1985,0.436684
1986,0.406382
1987,0.425880
1988,0.451438
1989,0.438548
1990,0.400992
1991,0.384402
1992,0.399288
1993,0.418916
1994,0.422988
1995,0.404072
1996,0.388105
1997,0.380672
1998,0.384342
1999,0.383872
2000,0.403539
2001,0.393339
2002,0.414822
2003,0.375295
2004,0.377861
2005,0.382316
2006,0.416635
2007,0.408829
2008,0.357024
2009,0.382118
2010,0.419410
2011,0.426712
2012,0.413790
2013,0.387442
2014,0.380710
2015,0.401901
2016,0.396312
2017,0.394442
2018,0.392801
2019,0.374969
2020,0.364543
