year,mean_r
1969,0.284921
1970,0.259237
1971,0.300039
1972,0.303456
1973,0.256127
1974,0.202284
1975,0.211368
1976,0.205217
1977,0.265400
1978,0.264225
1979,0.293149
1980,0.296922
1981,0.320552
1982,0.314420
1983,0.422424
1984,0.436864
1985,0.392150
1986,0.402046
1987,0.418770
1988,0.496621
1989,0.464199
1990,0.491483
1991,0.457392
1992,0.444928
1993,0.454191
1994,0.444093
1995,0.407855
1996,0.365877
1997,0.350757
1998,0.341769
1999,0.372918
2000,0.387395
2001,0.402902
2002,0.398989
2003,0.414751
2004,0.440801
2005,0.493465
2006,0.514843
2007,0.521468
2008,0.484982
2009,0.545781
2010,0.590147
2011,0.653742
2012,0.611603
2013,0.549191
2014,0.537792
2015,0.505966
2016,0.431519
2017,0.391590
2018,0.317245
2019,0.254448
2020,0.235163
