year,mean_r
1970,0.168134
1971,0.144186
1972,0.154110
1973,0.175593
1974,0.196946
1975,0.224838
1976,0.202130
1977,0.186426
1978,0.193368
1979,0.195681
1980,0.200791
1981,0.211535
1982,0.189642
1983,0.211776
1984,0.225464
1985,0.215985
1986,0.227448
1987,0.208794
1988,0.279241
1989,0.272235
1990,0.268877
1991,0.271256
1992,0.287328
1993,0.316182
1994,0.290645
1995,0.288803
1996,0.295984
1997,0.303543
1998,0.348133
1999,0.352141
2000,0.345236
2001,0.343758
2002,0.364501
2003,0.370194
2004,0.383857
2005,0.399982
2006,0.388087
2007,0.393293
2008,0.362731
2009,0.371572
2010,0.402364
2011,0.419052
2012,0.403722
2013,0.348055
2014,0.354047
2015,0.354590
2016,0.369690
2017,0.357183
2018,0.327943
2019,0.310315
2020,0.300519
